State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
GA,Cobb County,Large fringe metro,806,6864
GA,Coffee County,Micropolitan,115,548
GA,Colquitt County,Micropolitan,95,682
GA,Columbia County,Medium metro,26,786
GA,Cook County,Noncore,10,123
GA,Coweta County,Large fringe metro,139,1301
GA,Crisp County,Micropolitan,71,419
GA,Decatur County,Micropolitan,30,342
GA,DeKalb County,Large fringe metro,534,6060
GA,Dodge County,Noncore,75,278
GA,Dougherty County,Small metro,321,1754
GA,Douglas County,Large fringe metro,85,938
GA,Early County,Noncore,17,161
GA,Effingham County,Medium metro,12,326
GA,Elbert County,Noncore,18,276
GA,Emanuel County,Noncore,54,305
GA,Evans County,Noncore,11,111
GA,Fannin County,Noncore,26,373
GA,Fayette County,Large fringe metro,204,1345
GA,Floyd County,Small metro,343,2147
GA,Forsyth County,Large fringe metro,194,1932
GA,Franklin County,Noncore,31,290
GA,Fulton County,Large central metro,1210,11024
GA,Gilmer County,Noncore,25,297
GA,Glynn County,Small metro,172,1363
GA,Gordon County,Micropolitan,80,653
GA,Grady County,Noncore,25,234
GA,Greene County,Noncore,15,217
GA,Gwinnett County,Large fringe metro,619,5290
GA,Habersham County,Micropolitan,59,462
GA,Hall County,Small metro,609,3498
GA,Hancock County,Micropolitan,10,80
GA,Hart County,Noncore,11,235
GA,Henry County,Large fringe metro,242,2346
GA,Houston County,Small metro,165,1645
GA,Jackson County,Micropolitan,18,458
GA,Jasper County,Large fringe metro,14,125
GA,Jeff Davis County,Noncore,26,195
GA,Jefferson County,Noncore,21,218
GA,Jenkins County,Noncore,16,105
GA,Johnson County,Micropolitan,14,96
GA,Lamar County,Large fringe metro,17,151
GA,Laurens County,Micropolitan,168,1001
GA,Liberty County,Small metro,15,321
GA,Lowndes County,Small metro,249,1493
GA,Lumpkin County,Noncore,21,254
GA,McDuffie County,Medium metro,10,206
GA,Meriwether County,Large fringe metro,11,200
GA,Mitchell County,Noncore,17,207
GA,Monroe County,Small metro,33,312
GA,Murray County,Small metro,20,323
GA,Muscogee County,Medium metro,489,3537
GA,Newton County,Large fringe metro,101,930
GA,Oconee County,Small metro,36,432
GA,Paulding County,Large fringe metro,101,965
GA,Peach County,Small metro,12,221
GA,Pickens County,Large fringe metro,56,470
GA,Polk County,Micropolitan,10,369
GA,Pulaski County,Small metro,45,155
GA,Putnam County,Noncore,19,223
GA,Rabun County,Noncore,20,230
GA,Richmond County,Medium metro,775,4784
GA,Rockdale County,Large fringe metro,122,1005
GA,Spalding County,Large fringe metro,171,1408
GA,Stephens County,Micropolitan,34,361
GA,Sumter County,Micropolitan,61,422
GA,Tattnall County,Noncore,22,203
GA,Thomas County,Micropolitan,170,894
GA,Tift County,Micropolitan,196,812
GA,Toombs County,Micropolitan,111,627
GA,Towns County,Noncore,15,184
GA,Troup County,Micropolitan,181,1040
GA,Union County,Noncore,44,408
GA,Upson County,Micropolitan,127,669
GA,Walker County,Medium metro,28,645
GA,Walton County,Large fringe metro,142,1063
GA,Ware County,Micropolitan,148,781
GA,Washington County,Noncore,44,249
GA,Wayne County,Micropolitan,54,398
GA,White County,Noncore,15,248
GA,Whitfield County,Small metro,192,1167
GA,Worth County,Small metro,13,167
HI,Hawaii County,Micropolitan,50,1940
HI,Honolulu County,Medium metro,314,9193
HI,Maui County,Small metro,28,1325
IA,Adair County,Noncore,17,107
IA,Allamakee County,Noncore,31,213
IA,Appanoose County,Noncore,37,175
IA,Benton County,Medium metro,36,198
IA,Black Hawk County,Small metro,330,1831
IA,Boone County,Micropolitan,14,259
IA,Bremer County,Small metro,50,276
IA,Buchanan County,Noncore,12,168
IA,Buena Vista County,Micropolitan,25,178
IA,Butler County,Noncore,15,140
IA,Carroll County,Noncore,45,278
IA,Cass County,Noncore,42,218
IA,Cerro Gordo County,Micropolitan,133,881
IA,Cherokee County,Noncore,29,187
IA,Clarke County,Noncore,17,105
IA,Clay County,Micropolitan,15,189
IA,Clayton County,Noncore,45,198
IA,Clinton County,Micropolitan,87,565
IA,Crawford County,Noncore,30,189
IA,Dallas County,Medium metro,70,520
IA,Davis County,Micropolitan,17,74
IA,Delaware County,Noncore,29,184
IA,Des Moines County,Micropolitan,61,605
IA,Dickinson County,Micropolitan,33,228
IA,Dubuque County,Small metro,221,1215
IA,Emmet County,Noncore,37,150
IA,Fayette County,Noncore,21,236
IA,Floyd County,Noncore,27,177
IA,Franklin County,Noncore,11,112
IA,Grundy County,Small metro,25,163
IA,Guthrie County,Medium metro,18,112
IA,Hamilton County,Noncore,35,176
IA,Hancock County,Noncore,26,113
